10 Cats;Realistic Fiction;Sequence of Events             predict;Nine cats play and sleep when a tenth cat falls among them.
Birds;Informational;Respond;There are many different colored birds.
Colors;Informational;predict/infer;Photographs of objects sorted by colors.
Fish Colors;Informational;Respond;Fish come in many different colors!
My Clothes;Informational;Categorize and Classify;Children wear many different kinds of clothes.
My Family;Informational;Respond;A boy introduces the members of his family.
Time for Soup!;Realistic Fiction;Respond;A mother fixes soup for her family.
Colors ;Informational;Predict;In this book, children will learn about different colored objects.
Animal Colors;Informational;predict/infer;A boy just visited the zoo and is drawing pictures of the animals he saw there. Help him with the colors.
Big and Little;Informational;Compare and Contrast;Some objects, animals, and people are big while others are small.
Nicky Takes a Bath    ;Realistic Fiction;Draw Conclusions;Nicky is a dog that is about to take a bath.
See Me;Informational;Respond;Each part of the body has a special name.
We All Help Out;Realistic Fiction;Sequence of Events;A family works together to pick apples and make goodies to sell at their apple farm.
Plain and Fancy;Informational;Compare and Contrast;Some things are plain. Other things are dressier, or fancy.
A Day at School;Informational;Compare and Contrast;This book looks at a range of activities children do at school.
A Party;Realistic Fiction;Cause and Effect;This book describes all the special things that are associated with a birthday party.
A Vat;Fantasy;Short a words;This book contains a series of short a rhyming words.
ABC and You;Informational;Sequence;This book includes children's names that begin with each letter of the alphabet.
Animals Can;Informational;Compare and Contrast;This book contains simple repetitive text with photographs of familiar animals. 
Annie, Bea, and Chi Chi Dolores ;Fantasy;Sequence;This delightful ABC book follows three animals through the day.
At the Pool;Realistic Fiction;summarize;There are interesting things to see at a natural pool.
At the Vet;Realistic Fiction;Short e;Ed the dog has a bad leg and needs to go to the vet so he can jump again.
Baby Animals;Informational;summarize;Animals and their babies have different names.
Baby Bear's Family;Fantasy;wordless story;This story follows baby bear's family as they spend the day together.
Big Big Fig;Realistic Fiction;Short I;Mim picks out a big, big fig from the fig bin.
Big, Big Rig;Realistic Fiction;Consonant g;A girl and her dad sit and ride in the big, big rig.
Can It Fit?;Humorous Fiction;Consonants b, r, h, g         Short i (VC/CVC);A pig, a rat, a bat and a cat all try on a hat to see if it fits.
Can It Fit?;Fantasy;Short a and i words;A dog, a horse, a pig and a man all fit into a van.
